"Server","Проект / сервис","Владелец","Чат / группа (reddy)"
"sc-lux1-slots-prod-mongo-1","","server deleted",""
"sc-lux1-slots-prod-mongo-2","","server deleted",""
"sc-lux1-slots-prod-mongo-3","","server deleted",""
"sc-lux1-slots-prod-slots-mongo-1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-slots-mongo-2","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-slots-mongo-3","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-two-mongo-1","","server deleted",""
"sc-lux1-slots-prod-two-mongo-2","","server deleted",""
"sc-lux1-slots-prod-two-mongo-3","","server deleted",""
"sc-lux1-slots-prod-three-mongo-1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-three-mongo-2","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-three-mongo-3","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-cluster-mongo-backup1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-cluster-mongo-mongos4","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-cluster-mongo-mongos5","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-cluster-mongo-mongos6","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-prod-cluster-mongo-cfg1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-cfg2","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-cfg3","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-mongos1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-mongos2","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-mongos3","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-pmm1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard1n1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard1n2","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard1n3","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard2n1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard2n2","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard2n3","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard3n1","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard3n2","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-prod-cluster-mongo-shard3n3","Slots","нет инфо!","slots shard mongodb (временный)"
"sc-lux1-slots-dev-mongo-1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-dev-mongo-2","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-dev-mongo-3","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-test-cluster-mongo-conf1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-test-cluster-mongo-conf2","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-test-cluster-mongo-mongos1","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-test-cluster-mongo-mongos2","Slots","нет инфо!","Mancala (ex XSLOT) админство slots-*"
"sc-lux1-slots-test-cluster-mongo-shard1n1","Slots","нет инфо!","slots shard mongodb (временный)"
